name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Ainsworth,422,Valid,"Iron, IIAB",80650,Found,1/01/1907 0:00,42.6,-99.8,"(42.600000, -99.800000)"
Kernouve,12284,Valid,H6,80000,Fell,01/01/1869 12:00:00 AM,48.11667,-3.08333,"(48.116670, -3.083330)"
Soko-Banja,23661,Valid,LL4,80000,Fell,01/01/1877 12:00:00 AM,43.66667,21.86667,"(43.666670, 21.866670)"
Baygorria,4980,Valid,"Iron, IAB complex",80000,Found,1/01/1994 0:00,-33,-56,"(-33.000000, -56.000000)"
Unter-Mässing,24124,Valid,"Iron, IIC",80000,Found,1/01/1920 0:00,49.09028,11.33333,"(49.090280, 11.333330)"
Vera,24161,Valid,L/LL4,80000,Found,1/01/1941 0:00,-29.91667,-60.28333,"(-29.916670, -60.283330)"
Mrirt,16819,Valid,Iron,79900,Found,1/01/1937 0:00,33.13333,-5.56667,"(33.133330, -5.566670)"
Belle Plaine,5004,Valid,L6,78800,Found,1/01/1950 0:00,37.31667,-97.25,"(37.316670, -97.250000)"
Finmarken,10103,Valid,"Pallasite, PMG",78300,Found,1/01/1902 0:00,70,24,"(70.000000, 24.000000)"
Parnallee,18108,Valid,LL3.6,77600,Fell,01/01/1857 12:00:00 AM,9.23333,78.35,"(9.233330, 78.350000)"
Jiddat al Harasis 230,35549,Valid,L5,77000,Found,1/01/2005 0:00,19.7127,56.58277,"(19.712700, 56.582770)"
Moorumbunna,16739,Valid,"Iron, IIIAB",77000,Found,1/01/1943 0:00,-28.91667,136.25,"(-28.916670, 136.250000)"
Augusta County,4897,Valid,"Iron, IIIAB",76000,Found,01/01/1858 12:00:00 AM,38.16667,-79.08333,"(38.166670, -79.083330)"
Northbranch,17010,Valid,H5,76000,Found,1/01/1972 0:00,39.99167,-98.34167,"(39.991670, -98.341670)"
Yelland Dry Lake,52641,Valid,H4,76000,Found,1/01/2007 0:00,39.35067,-114.40783,"(39.350670, -114.407830)"
Tawallah Valley,23889,Valid,"Iron, IVB",75750,Found,1/01/1939 0:00,-15.7,135.66667,"(-15.700000, 135.666670)"
Xingyang,24346,Valid,H6,75500,Fell,1/01/1977 0:00,32.33333,114.31667,"(32.333330, 114.316670)"
Northwest Africa 859,17884,Valid,"Iron, ungrouped",75300,Found,1/01/2001 0:00,,,
Acme,371,Valid,H5,75000,Found,1/01/1947 0:00,33.63333,-104.26667,"(33.633330, -104.266670)"
Bayard,4978,Valid,L5,75000,Found,1/01/1982 0:00,41.81667,-103.36667,"(41.816670, -103.366670)"
Wolsey,24328,Valid,"Iron, IAB-MG",74830,Found,1/01/1981 0:00,44.4,-98.53333,"(44.400000, -98.533330)"
Tilden,23998,Valid,L6,74800,Fell,1/01/1927 0:00,38.2,-89.68333,"(38.200000, -89.683330)"
Walker County,24204,Valid,"Iron, IIAB",74800,Found,01/01/1832 12:00:00 AM,34,-87.16667,"(34.000000, -87.166670)"
Hunter,11987,Valid,LL5,74600,Found,1/01/1962 0:00,36.56,-97.66667,"(36.560000, -97.666670)"
Ethiudna,10060,Valid,L4,74318,Found,1/01/1977 0:00,-32.03333,139.78333,"(-32.033330, 139.783330)"
Northwest Africa 267,17673,Valid,H4,73900,Found,1/01/2000 0:00,,,
Toufassour,47702,Valid,Mesosiderite,73300,Found,1/01/2007 0:00,29.65225,-7.7493,"(29.652250, -7.749300)"
Nelson County,16942,Valid,"Iron, IIIF",73030,Found,01/01/1856 12:00:00 AM,37.75,-85.5,"(37.750000, -85.500000)"
Uwharrie,24139,Valid,"Iron, IIIAB",72700,Found,1/01/1930 0:00,35.51667,-79.96667,"(35.516670, -79.966670)"
Uruaçu,24131,Valid,"Iron, IAB-MG",72500,Found,1/01/1992 0:00,-14.53333,-48.76667,"(-14.533330, -48.766670)"
Isoulane-n-Amahar,12052,Valid,L6,72000,Found,1/01/1945 0:00,27.12917,8.66722,"(27.129170, 8.667220)"
Mafuta,15384,Valid,"Iron, IID",71500,Found,1/01/1984 0:00,-16.9025,30.40722,"(-16.902500, 30.407220)"
Merua,15492,Valid,H5,71400,Fell,1/01/1920 0:00,25.48333,81.98333,"(25.483330, 81.983330)"
Portales Valley,18874,Valid,H6,71400,Fell,1/01/1998 0:00,34.175,-103.295,"(34.175000, -103.295000)"
Sierra Colorada,23588,Valid,L5,71300,Found,1/01/1995 0:00,-40.8,-67.48333,"(-40.800000, -67.483330)"
Tlacotepec,24013,Valid,"Iron, IVB",71000,Found,1/01/1903 0:00,18.65,-97.55,"(18.650000, -97.550000)"
Wooramel,24335,Valid,L5,71000,Found,1/01/1969 0:00,-25.65,114.21667,"(-25.650000, 114.216670)"
Mahadevpur,47361,Valid,H4/5,70500,Fell,1/01/2007 0:00,27.66667,95.78333,"(27.666670, 95.783330)"
Smithville,23654,Valid,"Iron, IAB-MG",70500,Found,01/01/1840 12:00:00 AM,35.98333,-85.85,"(35.983330, -85.850000)"
Peña Blanca Spring,18786,Valid,Aubrite,70000,Fell,1/01/1946 0:00,30.125,-103.11667,"(30.125000, -103.116670)"
Lahmada 009,12422,Valid,H3-6,70000,Found,1/01/1999 0:00,27.16667,-9.5,"(27.166670, -9.500000)"
Smithonia,23651,Valid,"Iron, IIAB",69900,Found,1/01/1940 0:00,34,-83.16667,"(34.000000, -83.166670)"
Landes,12457,Valid,"Iron, IAB-MG",69800,Found,1/01/1930 0:00,38.9,-79.18333,"(38.900000, -79.183330)"
Xinyi,24347,Valid,H5,69000,Found,1/01/1975 0:00,34.36667,118.33333,"(34.366670, 118.333330)"
Wu-chu-mu-ch'in,24341,Valid,"Iron, IAB-ung",68860,Found,1/01/1920 0:00,45.5,118,"(45.500000, 118.000000)"
Burlington,5172,Valid,"Iron, IIIE",68000,Found,01/01/1819 12:00:00 AM,42.75,-75.18333,"(42.750000, -75.183330)"
Hamilton (Queensland),11483,Valid,L6,68000,Found,1/01/1966 0:00,-28.48333,148.25,"(-28.483330, 148.250000)"
Marlow,15428,Valid,L5,68000,Found,1/01/1936 0:00,34.6,-97.91667,"(34.600000, -97.916670)"
Soledade,23662,Valid,"Iron, IAB-MG",68000,Found,1/01/1986 0:00,-29.05,-51.43333,"(-29.050000, -51.433330)"
